Date,Price,Open,High,Low,Vol.,Change %
2018-02-01,49.25,51.92,52.24,40.41,47.40M,-5.90%
2018-03-01,47.26,49.5,53.75,45.77,39.96M,-4.04%
2018-04-01,45.53,47.27,48.43,44.04,23.19M,-3.66%
2018-05-01,50.65,45.38,52.73,44.94,33.24M,11.25%
2018-06-01,54.38,50.72,55.18,50.2,43.23M,7.36%
2018-07-01,54.21,54.01,54.72,51.5,28.64M,-0.31%
2018-08-01,56.63,53.95,58.7,53.77,36.32M,4.46%
2018-09-01,57.7,55.52,58.81,53.81,33.87M,1.89%
2018-10-01,52.93,58.2,58.99,50.49,40.06M,-8.27%
2018-11-01,51.56,53.72,57.97,49.85,32.11M,-2.59%
2018-12-01,47.0,52.61,52.92,43.96,38.36M,-8.84%
2019-01-01,51.82,46.21,52.52,44.88,29.12M,10.26%
2019-02-01,54.44,52.0,56.0,50.21,29.79M,5.06%
2019-03-01,52.76,54.5,55.21,50.11,41.61M,-3.09%
2019-04-01,54.18,53.19,54.78,51.58,27.91M,2.69%
2019-05-01,48.74,54.32,54.48,46.87,46.74M,-10.04%
2019-06-01,53.46,48.98,55.34,48.89,35.40M,9.68%
2019-07-01,54.81,54.03,55.25,49.6,42.07M,2.53%
2019-08-01,50.36,54.79,54.99,47.84,25.43M,-8.12%
2019-09-01,49.88,49.95,52.41,48.69,20.03M,-0.95%
2019-10-01,47.79,49.93,51.07,47.75,26.16M,-4.19%
2019-11-01,47.42,48.15,50.78,46.17,22.71M,-0.77%
2019-12-01,47.91,47.56,49.23,45.82,25.31M,1.03%
2020-01-01,42.69,48.38,48.59,42.37,33.78M,-10.90%
2020-02-01,40.43,42.69,44.68,38.65,40.88M,-5.29%
2020-03-01,33.94,42.0,42.0,23.85,65.08M,-16.05%
2020-04-01,35.71,32.8,37.22,31.51,34.16M,5.22%
2020-05-01,34.0,35.02,36.98,29.7,29.64M,-4.79%
2020-06-01,32.1,33.98,39.2,31.88,34.35M,-5.59%
2020-07-01,32.59,32.25,34.07,30.56,33.89M,1.53%
2020-08-01,36.87,32.59,39.98,32.49,38.15M,13.13%
2020-09-01,39.23,36.9,42.06,36.56,30.77M,6.40%
2020-10-01,40.68,39.16,42.19,37.51,25.48M,3.70%
2020-11-01,49.27,41.05,49.77,37.79,35.41M,21.12%
2020-12-01,48.16,49.81,50.81,46.25,28.11M,-2.25%
2021-01-01,49.17,48.78,55.12,48.45,37.66M,2.10%
2021-02-01,53.96,49.61,57.73,49.28,41.50M,9.74%
2021-03-01,53.89,55.0,59.76,52.59,46.87M,-0.13%
2021-04-01,55.19,54.43,57.5,52.28,36.89M,2.41%
2021-05-01,62.15,55.82,62.39,55.68,43.23M,12.61%
2021-06-01,60.61,62.27,65.93,57.63,54.86M,-2.48%
2021-07-01,59.4,61.25,62.45,57.08,26.79M,-2.00%
2021-08-01,60.69,59.52,64.53,57.45,35.19M,2.17%
2021-09-01,64.83,61.01,66.47,59.82,31.69M,6.82%
2021-10-01,69.91,65.25,72.21,65.18,35.89M,7.84%
2021-11-01,66.12,69.64,73.5,65.84,42.69M,-5.42%
2021-12-01,75.2,67.23,77.35,65.9,45.32M,13.73%
2022-01-01,69.8,75.72,76.72,67.23,64.56M,-7.18%
2022-02-01,85.99,70.62,86.12,70.42,65.26M,23.19%
2022-03-01,103.99,85.96,108.84,84.14,125.53M,20.93%
2022-04-01,98.25,104.24,117.25,96.01,69.41M,-5.52%
2022-05-01,97.19,97.67,107.82,92.44,72.96M,-1.08%
2022-06-01,79.69,98.52,98.72,78.61,82.27M,-18.01%
2022-07-01,85.66,78.85,85.66,71.9,2.39M,7.49%
2022-08-01,91.9,84.99,92.38,81.89,1.70M,7.28%
